,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2025-09-29,88735.4296875,89279.21226497214,82259.47353760446,82358.34309714485,101310544,80.15068225457733,4345.626544501709,94.31150030182566,0.07743096384815296,0.22471055819632535,0.001527669145225299,-1193.1739909466569,3.2511180279999508,11.934988416629793,0.9700022344839139
2025-10-06,93749.28125,93848.59192929025,89131.33466300317,89131.33466300317,35269748,77.72356459905284,4422.380114230564,94.54590577954089,0.056503378415558636,0.3200253169456231,0.0013560005914827725,-1147.7001236561855,-7.105208980598377,3.2300254294277977,-0.29578111959488834
2025-10-13,97225.1640625,98416.89232475741,89578.24104634832,90670.65862008427,131350523,80.12051906093255,4864.007230648416,97.83032312373125,0.037076367585484826,0.3310053127951247,0.0013434078678686168,-617.9484247774126,-4.525060495832207,7.476756327898457,0.05899861387639373
2025-10-20,98118.953125,99211.37061930668,94841.70064207996,97225.15699329453,93621703,81.67334364334097,4814.573505306246,97.50266304153088,0.009192980758823355,0.32599155690569637,0.0013850233729097133,-559.6666298973487,-0.6131760722830819,11.075588198512875,0.5436232989450099
2025-10-27,106758.984375,107851.40188953489,98416.88699127907,100601.72202034884,152466621,90.18151835557407,5306.36103122911,96.73909194234359,0.08805670030939794,0.33797009590256255,0.001531007897275605,-1009.0334711041851,2.381651769393841,0.2737605531444416,0.31938640696177806
2025-11-03,97225.1640625,111625.21389811032,95636.1930461568,106163.12602943054,156967139,78.70292982930945,6374.627013301551,87.2997613545263,-0.08930227622821552,0.428820135459155,0.0029297759527589116,-2810.2223761576406,-1.0656668843181052,5.377073396906866,0.48403440653685137
2025-11-10,96529.984375,105269.32452417696,96529.984375,97920.33394418724,113643449,72.8838342906294,6611.098326889092,76.66795616654295,-0.007150203285366641,0.36332725392567167,0.002772838723469379,-2310.386416882833,-6.7004131558637425,-7.809532679760196,-0.6628748253828045
2025-11-17,94146.5234375,102190.68841475474,93848.59140130537,99112.057374077,103334007,64.03530956634047,6784.198195545121,61.62766358522028,-0.024691404986047938,0.3590466485474213,0.0029699696532352214,-2484.032518773429,-13.340798076797128,-19.722042126345407,-1.7555642895018275
2025-11-24,99807.234375,104772.76842350747,95536.87509328358,97125.84598880597,99001482,64.89146659822023,7168.402874591356,59.79205211860403,0.06012660617529764,0.24946303355609334,0.002755800742547398,-1439.9947119602375,-8.68842207477877,-19.588592019267992,-1.4866194058562505
2025-12-01,107652.78125,107652.78125,99211.37312615314,101296.89748616236,70939656,64.24748212031167,7295.703399516907,67.03602175894484,0.07860699601716625,0.24460300156997994,0.0028730262516860916,-1690.5235652018537,-9.62876481598802,-13.56854506554437,-1.2465386736065867
